address,total_loans_disbursed,total_loan_amount,average_loan_amount
"35029 Robinson Plaza, North Michaelchester, NY 28578",3,1104976,368325.3333
"532 Davis Fords, West Josephport, MD 83729",6,1098049,183008.1667
"691 Thomas Walk Suite 794, Hunterhaven, IL 92415",4,1093855,273463.7500
"Unit 4934 Box 9355, DPO AE 28308",3,1085366,361788.6667
"799 David Canyon Suite 389, Estradaville, KY 23073",5,1083819,216763.8000
"9040 Miller Shoal Suite 980, South Jamesfurt, IL 87460",3,1082652,360884.0000
"992 Murphy Cliffs, New Nancyfort, TN 14192",3,1077467,359155.6667
"4012 James Wall Suite 836, North Jennifershire, MN 13585",4,1065219,266304.7500
"4559 Duran Isle Suite 282, Deannahaven, WI 61504",4,1062567,265641.7500
"3725 Anna Island Apt. 366, Lambton, MO 09810",3,1059776,353258.6667
"USNS Barber, FPO AA 98989",4,1056625,264156.2500
"7836 Wells Rapid, Port Michael, NM 28344",5,1049035,209807.0000
"64261 Hicks Summit, Conleyberg, AK 70624",4,1039072,259768.0000
"USCGC Perry, FPO AE 88567",4,1038448,259612.0000
"645 Jennifer Knoll, Jameschester, NC 85463",3,1037714,345904.6667
"7233 Cathy Roads, Brownshire, NC 60103",4,1034608,258652.0000
"745 Wilson Tunnel, Joytown, NJ 20892",4,1026067,256516.7500
"018 Mccullough Fort, Freemanland, KS 29806",4,1024999,256249.7500
"51283 Harmon Burgs, Marystad, IN 81352",4,1017933,254483.2500
"875 Hines Coves, Julieview, SD 75158",3,1016899,338966.3333
"7810 Robert Forks Apt. 424, Jeffreychester, MO 56907",3,1014027,338009.0000
"96185 Sean Mountain, Kevinmouth, NE 73627",3,1012345,337448.3333
"92656 Todd Tunnel, Thomasfort, VA 60047",3,1011683,337227.6667
"2610 Tiffany Branch Apt. 012, West Cameron, MD 36048",3,1009463,336487.6667
"21477 Doris Fords Apt. 784, Port Stanley, PA 60091",3,1007345,335781.6667
"05356 Miller Parkways, Port Keith, MI 93636",3,993210,331070.0000
"598 Livingston Mountain Suite 361, West Jamesmouth, MT 45241",4,988373,247093.2500
"37190 Brian Junction, New Edward, MO 18737",4,987839,246959.7500
"162 Salinas Spring Apt. 562, Ronaldfurt, GA 29794",3,983556,327852.0000
"75406 Alexander Coves Apt. 661, South Heatherport, IN 55420",3,982482,327494.0000
"4411 Paul Park, Sullivanmouth, OK 54904",3,980039,326679.6667
"20334 Sarah Forge Suite 901, South Kimberlyshire, MT 98140",3,977670,325890.0000
"6192 Smith Locks, Port Jared, ME 31211",5,977353,195470.6000
"79107 Stephanie Valleys, Heatherville, ME 44769",3,971300,323766.6667
"5000 Thompson Key Apt. 607, East Stephentown, SD 79337",3,959048,319682.6667
"USS Smith, FPO AA 14998",2,958284,479142.0000
"346 Vanessa Isle Apt. 902, Port Kenneth, RI 45430",3,938935,312978.3333
"423 Martin Haven, West Nancymouth, ND 36775",3,931716,310572.0000
"3455 Kelley Mountains, Davisside, KS 31917",4,929396,232349.0000
"3183 Stevens Spur, Markton, CO 53963",2,926600,463300.0000
"20931 Edwin Station Suite 763, New Kelsey, DC 72138",3,924283,308094.3333
"5206 Jon Parkways Apt. 634, New Theresaburgh, NH 12485",3,916266,305422.0000
"03477 Matthew Course Apt. 117, Port Shannon, IA 31944",3,913365,304455.0000
"97241 Robert Spurs, South Katrina, KY 70490",2,913153,456576.5000
"148 Russell Divide, Jordanport, GA 73683",2,910349,455174.5000
"Unit 8826 Box 4372, DPO AA 06581",3,906371,302123.6667
"545 Watts Viaduct, New Laura, MO 26421",4,905084,226271.0000
"5105 Nancy Shoal Suite 329, West Loriview, MA 16085",3,904763,301587.6667
"275 Mccann Roads Apt. 550, Nicholsside, DC 41731",3,904157,301385.6667
"497 David Burg, West Xavierfurt, LA 28374",4,899189,224797.2500
"571 Alyssa Mills, Santanahaven, RI 02908",2,894272,447136.0000
"063 Christopher Heights, North Bobby, MN 05062",3,893475,297825.0000
"37695 Stephanie Track, Walkerport, MO 76461",3,893340,297780.0000
"03555 Thomas Spring Apt. 325, Port Heidi, TX 45948",3,890140,296713.3333
"4035 Kemp Ridges Apt. 654, East Amy, DC 43236",2,885556,442778.0000
"427 Lisa Street, Brucemouth, NY 71880",3,884823,294941.0000
"77312 David Motorway, Davidshire, UT 38400",2,882156,441078.0000
"775 Harry Junctions Apt. 622, Lake Jean, KY 49738",3,876836,292278.6667
"970 Daniel Union Apt. 054, South Heathertown, KY 44190",3,875785,291928.3333
"235 Jennifer Roads Suite 433, Dustinland, VA 20609",4,875565,218891.2500
"8567 Ortiz Rapid Apt. 263, Emilystad, MD 88141",3,874143,291381.0000
"PSC 8811, Box 7460, APO AA 79409",3,868363,289454.3333
"4148 Hayes Route Suite 561, Vanessaburgh, ID 22681",3,867242,289080.6667
"PSC 1756, Box 2386, APO AE 78904",3,862662,287554.0000
"89944 Willie Valleys Suite 879, North Bonnie, AZ 56389",3,860908,286969.3333
"5432 Ramos Loaf, Josephberg, MS 37157",3,860321,286773.6667
"5447 Nicole Extensions Suite 700, East Scottbury, NY 67780",3,860211,286737.0000
"390 Steven Manor, Nicolestad, AZ 02491",3,857725,285908.3333
"14905 Cole Harbors, Gibsonview, MN 19706",3,857502,285834.0000
"043 Nelson Inlet, Jenkinston, KY 39147",4,856914,214228.5000
"889 Clay Dale Apt. 076, North Nancyborough, DC 47097",2,854656,427328.0000
"63916 Stephen Lock Suite 339, New Michelle, MO 87251",3,852904,284301.3333
"7933 Kyle Parks Apt. 116, West Christinashire, IN 28924",3,850071,283357.0000
"85504 Ariana Unions, Lucasmouth, IN 94390",3,843779,281259.6667
"19376 Adam Key, New Danielleberg, WY 86636",4,840767,210191.7500
"987 Jennifer Lodge Apt. 598, Kristentown, ND 71464",2,838753,419376.5000
"9794 William Walks, West Ashley, KS 71471",2,835783,417891.5000
"740 Pitts Crest Apt. 195, Donaldsonland, VA 88220",3,833857,277952.3333
"USS Rodriguez, FPO AP 05787",2,833851,416925.5000
"34504 Arnold Village Suite 585, Kiddburgh, UT 34322",2,828658,414329.0000
"79097 Pamela Trail Apt. 888, Robertstad, NM 57437",3,826031,275343.6667
"16379 Ashley Corner, West Lisa, AR 71898",2,824411,412205.5000
"3228 Baker Ridge, South Danny, DE 32117",3,823890,274630.0000
"7403 William Stream Suite 359, North Timothyland, HI 10591",2,813252,406626.0000
"668 Reese Manor Suite 249, New Jacqueline, NJ 13625",3,813232,271077.3333
"889 Perez Extensions Apt. 785, Thomasland, NM 68030",3,812057,270685.6667
"138 Thomas Union, Nicolehaven, NM 80784",3,808077,269359.0000
"72213 Steven Stream, Aliciaport, MA 70943",2,806191,403095.5000
"PSC 6116, Box 6816, APO AP 15528",2,804053,402026.5000
"668 Thomas Estates, New Marymouth, IA 56878",3,802529,267509.6667
"Unit 1840 Box 7533, DPO AE 88298",3,802451,267483.6667
"7332 Hawkins Track, South Andrewbury, IL 77750",2,802038,401019.0000
"753 Charles Rapids, Tracyport, WA 46579",2,801131,400565.5000
"406 Butler Creek, South Diana, RI 62409",2,800873,400436.5000
"43326 Silva Isle Apt. 599, North Elizabethtown, NE 44730",3,800867,266955.6667
"66572 Johnson Cliff Apt. 175, Valentinehaven, CA 91672",2,797912,398956.0000
"2169 Richard Stream Apt. 022, Lake Jennifer, IA 04159",2,794931,397465.5000
"570 Maria Greens, South Anthony, TN 62828",3,794187,264729.0000
"41590 Wallace Landing Apt. 777, Lake Guyfort, OH 55881",2,793885,396942.5000
"3381 Brandi Crossing Suite 815, Port Kathleenfort, OK 54219",4,791064,197766.0000
"2500 Sandra Avenue Suite 716, Phillipsside, MO 34831",3,789852,263284.0000
"4809 Rick Vista Suite 504, Spenceberg, IA 45407",3,788064,262688.0000
"569 Hensley Fields Suite 805, Houstonshire, OH 05634",3,787483,262494.3333
"04764 Calderon Glens Apt. 545, Port Angela, AR 34095",3,787244,262414.6667
"5302 Schultz Crescent, New Russell, IL 11396",2,786301,393150.5000
"6975 Rebecca Burg Suite 461, Mckinneyland, DE 50315",2,784108,392054.0000
"6920 Jermaine Place Suite 117, North Tannerborough, NJ 93106",2,776512,388256.0000
"5417 Denise Stravenue Suite 107, New Amy, KY 42840",2,775679,387839.5000
"4796 Martinez Vista, New Jessefurt, CA 05840",2,773650,386825.0000
"434 Barbara Plains Apt. 606, North Mark, AZ 01939",2,771790,385895.0000
"694 Crystal Skyway, Jessicaborough, RI 25542",2,771648,385824.0000
"98827 Elizabeth Village, Lake Juliaville, CT 76409",3,770047,256682.3333
"66609 Nicholas Viaduct, South Christianburgh, UT 93466",2,769290,384645.0000
"0444 Meredith Rest Apt. 217, East Elizabeth, TX 87552",4,769280,192320.0000
"312 Jonathan Lodge, North Kevin, WY 27834",4,768729,192182.2500
"59003 Bailey Lake, Lake Juanton, LA 20031",2,765185,382592.5000
"USNV Mason, FPO AA 97002",2,757649,378824.5000
"PSC 7432, Box 7478, APO AA 81048",2,755516,377758.0000
"8303 Maria Squares, Michaelmouth, NM 66517",2,754800,377400.0000
"312 Gail Field Apt. 967, Walshland, ND 04969",2,750316,375158.0000
"PSC 4506, Box 1800, APO AA 37679",2,748201,374100.5000
"03444 Montes Islands Apt. 510, Maryport, WA 13862",3,745478,248492.6667
"723 Fuller Mount Apt. 238, Josefurt, CA 81665",2,744096,372048.0000
"41377 Danny Track Apt. 936, Jacobburgh, UT 82631",2,743095,371547.5000
"098 Rebecca Crescent, Stacyborough, NH 53586",2,740420,370210.0000
"0663 Rebecca Streets Suite 813, Keithbury, CO 19646",2,739136,369568.0000
"33300 Wallace Passage, Carpenterfurt, OH 26282",3,737437,245812.3333
"547 Henry Highway, Joshuaberg, MN 01060",3,735787,245262.3333
"5903 Edward Way Apt. 495, Steventown, VT 15326",2,735215,367607.5000
"011 Timothy Ramp, Alexanderberg, AK 41286",3,732721,244240.3333
"428 Lee Square Suite 326, Mejiaburgh, VT 39158",2,729782,364891.0000
"42279 Fox Mill, Brianmouth, MD 20857",3,727330,242443.3333
"0032 Jason Divide Apt. 672, Jenniferberg, MI 38979",3,725185,241728.3333
"916 Moore Keys, Sandraburgh, NV 76815",2,724013,362006.5000
"34046 Sherri Cliffs Suite 952, Jamesview, HI 98358",3,723428,241142.6667
"08199 Adrienne Mall Suite 347, Huertaville, NY 62036",2,722941,361470.5000
"1279 Cooley Parks Suite 691, Lake John, RI 26246",3,720851,240283.6667
"918 Rebecca Overpass Apt. 435, Michelleland, NH 05264",3,720464,240154.6667
"5020 Bryan Harbor, Ethanmouth, ID 88709",2,717408,358704.0000
"9519 Wise Bridge, North Richard, SC 87199",2,714986,357493.0000
"77689 William Shoal, Wardton, NV 72274",3,714124,238041.3333
"3819 Hill Vista Suite 349, Amybury, NM 51050",3,713866,237955.3333
"870 Garcia Stream Apt. 970, North Jasonland, AZ 02538",2,712725,356362.5000
"98605 Dalton Points Suite 827, Smithfort, IA 11307",3,709095,236365.0000
"Unit 7561 Box 6888, DPO AE 96265",2,706881,353440.5000
"01679 Leslie View, South Jimmyland, WA 89681",2,702393,351196.5000
"3115 Linda Village, Thomasview, TX 20681",3,695916,231972.0000
"98076 Davis Manor, Lindseyside, TN 60904",2,695875,347937.5000
"88546 David Squares Suite 110, Port Katherinemouth, CO 85219",4,693879,173469.7500
"92923 Rodney Street, Kevinfurt, OH 08077",3,692721,230907.0000
"707 Candace Land Suite 989, Port Wandashire, NC 90764",2,691547,345773.5000
"051 Phillips Island, Austintown, NY 17136",3,690846,230282.0000
"13209 Pamela Tunnel, North Roberto, AL 34993",2,690716,345358.0000
"PSC 2396, Box 8302, APO AA 90147",2,688786,344393.0000
"Unit 7967 Box 9046, DPO AE 98754",4,686885,171721.2500
"386 Sanders Skyway Apt. 065, Baileyport, MS 33892",2,685404,342702.0000
"77701 Calderon Overpass, West Franklin, KS 81406",2,685164,342582.0000
"98660 Paul Union, Lake Stacey, CO 32993",2,678946,339473.0000
"724 Tiffany Fall Suite 334, North Kevinburgh, SD 45307",2,674516,337258.0000
"785 Debra Green, Robinsonshire, CO 46456",2,672132,336066.0000
"99142 Brown Orchard, Samuelberg, CT 24219",3,665868,221956.0000
"9316 Gonzalez Freeway, Sarahchester, TN 26815",2,663678,331839.0000
"60316 Brianna Pine Apt. 738, New Barbaraport, RI 36503",2,663246,331623.0000
"78342 Diaz Plains Suite 264, Emilyshire, HI 65554",4,660680,165170.0000
"2613 Moody Springs Apt. 393, Mcphersonmouth, LA 88555",3,659751,219917.0000
"21968 White Fork, Erictown, CT 65686",2,659333,329666.5000
"9778 Rachel Light Suite 986, Elizabethport, PA 71833",2,658236,329118.0000
"1287 Paul Lakes, West Jasonburgh, MO 80653",4,653408,163352.0000
"74874 Cynthia Glens, Ambermouth, SD 75769",3,652865,217621.6667
"35707 Solomon Turnpike, South Michelleland, SC 74856",2,652563,326281.5000
"9476 Kim Plaza Apt. 470, Laurieville, AR 09035",2,652033,326016.5000
"3954 Kimberly Skyway Suite 496, Austinberg, CT 72736",3,650638,216879.3333
"32835 Holmes Row Suite 850, Torresbury, CA 29442",2,649647,324823.5000
"462 Reynolds Track, Turnerville, WI 41960",4,648485,162121.2500
"98342 Edward Flats, Millerberg, CT 88086",2,646220,323110.0000
"672 Cynthia Island Suite 536, Susanfort, CA 51521",3,645616,215205.3333
"8133 George Underpass, South Linda, KS 37365",3,642876,214292.0000
"515 Henson Course, Taylorland, FL 11387",2,640609,320304.5000
"7019 Michelle Pike Apt. 616, Sullivanhaven, FL 14875",2,640560,320280.0000
"PSC 2396, Box 3266, APO AA 25821",3,639789,213263.0000
"72809 Emily Track, South Paulhaven, NV 76111",2,637183,318591.5000
"07389 Montgomery Mills Suite 557, Lake Gary, AZ 36974",3,637147,212382.3333
"1546 Helen Hollow, South Deannamouth, TN 34694",2,635144,317572.0000
"Unit 3189 Box 8264, DPO AA 37731",3,635141,211713.6667
"337 Townsend Mountains Apt. 303, Lake Cindymouth, WY 31641",2,634324,317162.0000
"2497 Christina Island, Rebeccaland, GA 91096",3,634287,211429.0000
"010 Davis Squares Apt. 032, Johnsonberg, WA 25619",3,634267,211422.3333
"20470 Deborah Row, Lake Dustin, DE 86876",2,632345,316172.5000
"58321 Dale Mountains Apt. 682, Jamesville, DC 97744",2,632140,316070.0000
"04304 Christine Corner Suite 480, Port Cindy, ND 39068",2,629702,314851.0000
"2336 Vang Stravenue Apt. 041, Port Melissamouth, MI 51566",2,628298,314149.0000
"PSC 6790, Box 3077, APO AE 45375",3,627948,209316.0000
"93197 Hudson Stravenue Suite 695, West Danaport, IN 49100",2,622661,311330.5000
"26679 Karina Trafficway, North Kyle, IN 06515",3,620761,206920.3333
"6818 Davidson Circles Apt. 457, North Frankbury, ME 51556",2,616100,308050.0000
"92852 Bell Spur Suite 827, Whitakerstad, MI 53217",4,615597,153899.2500
"0010 Benjamin Stravenue Apt. 496, Richardside, PA 40011",3,614390,204796.6667
"97899 Tracy Point, Washingtonstad, UT 06671",3,613892,204630.6667
"7096 Nicole Track Apt. 625, Port Cathymouth, IN 67620",2,608828,304414.0000
"94880 Patel Path, Cindyborough, FL 74558",3,608808,202936.0000
"385 David Estate Apt. 921, West Antonioshire, NC 26057",3,605968,201989.3333
"63087 Martin Fall, South Lynnland, ID 09582",2,604886,302443.0000
"1990 Brock Throughway Apt. 520, Vanessaberg, NV 60269",3,601873,200624.3333
"92759 Atkinson Extension Suite 054, West Luis, OH 27510",2,600347,300173.5000
"545 Guy Tunnel, Lewisfurt, NH 74513",3,599958,199986.0000
"4732 William Path, Crystaltown, NV 49857",5,597221,119444.2000
"531 Guerrero Fields Suite 331, Wilsonfurt, IA 69954",2,594587,297293.5000
"398 Lawson Shoals, Jenniferburgh, ND 38538",2,594211,297105.5000
"02303 Andrews Springs Apt. 725, West Lesliestad, WY 39068",3,590096,196698.6667
"8884 Jenny Center, Rogerside, MT 19116",2,589674,294837.0000
"551 Paul Orchard, Kristenborough, DC 13436",3,588900,196300.0000
"9611 Richard Estate, Delacruzshire, IA 06904",3,587303,195767.6667
"338 Maurice Expressway, East Debraton, MO 72034",5,585278,117055.6000
"389 Alexis Dam, East Susan, NJ 43668",2,585085,292542.5000
"1944 Santos Via Apt. 212, Grantport, ME 03615",3,584891,194963.6667
"4462 Drake Inlet, Valeriefurt, CA 02077",2,583748,291874.0000
"777 Abigail Isle, East Joel, AL 84201",3,582511,194170.3333
"2492 Alexander Greens, Coopershire, UT 19027",3,582159,194053.0000
"USNV Reyes, FPO AE 75151",2,579277,289638.5000
"PSC 0571, Box 5109, APO AP 56373",3,574777,191592.3333
"5170 Richard Ramp, East Joshua, FL 68379",3,573524,191174.6667
"5446 Dawson Station, East James, MT 75071",2,572020,286010.0000
"325 Ryan Skyway, Luketown, WY 59935",2,571366,285683.0000
"79920 Derek Mountain, West Paul, HI 63145",2,565132,282566.0000
"8266 Duffy Glen Apt. 545, Rangelberg, OH 70958",3,564432,188144.0000
"670 Gibson Crescent, Lake Timothyfort, AL 23365",2,563929,281964.5000
"893 Cherry Island, East Jonathon, TN 29796",2,560641,280320.5000
"696 Lynch Extension Suite 350, Robertville, NV 33314",2,560420,280210.0000
"155 Burton Underpass, Lake Shawn, IA 85436",2,560042,280021.0000
"157 Joseph Heights, Lake Johnmouth, IL 77859",2,559670,279835.0000
"PSC 2700, Box 2619, APO AA 12834",3,553673,184557.6667
"129 Miller Locks, West Charles, OK 31014",2,551408,275704.0000
"400 Sellers Point, North Pamela, MI 05886",3,549122,183040.6667
"51355 Kimberly Glen Apt. 499, New Samantha, OH 68288",2,548976,274488.0000
"559 Brittany Springs, Lindaton, UT 67614",3,547861,182620.3333
"USS Wilson, FPO AP 20122",2,541593,270796.5000
"80218 Virginia Valley Suite 296, Patriciamouth, ME 70625",2,539783,269891.5000
"073 Harper Rue Suite 635, South Ericfort, LA 05184",2,537973,268986.5000
"439 Neal Light Suite 346, South Jacobview, WA 19009",2,536321,268160.5000
"85814 Orr Islands, Angelberg, ND 75848",2,536254,268127.0000
"0469 Antonio Squares Apt. 569, Port Beth, NV 47650",2,534022,267011.0000
"1595 Mckinney Gardens Suite 415, South Marcusfort, MA 35446",3,533167,177722.3333
"66683 Jennifer Ports Suite 719, Emilystad, AZ 01696",2,532751,266375.5000
"7793 Oconnor Shoal Suite 328, West Jenniferport, AR 28794",2,531879,265939.5000
"79480 Megan Courts Apt. 427, West Kellyland, AL 78871",2,531249,265624.5000
"Unit 7650 Box 9065, DPO AP 03586",3,526468,175489.3333
"8290 Roberts Crest Suite 049, North Herbert, OR 50621",2,525186,262593.0000
"93207 Joseph Freeway, Roseview, SD 67155",2,521176,260588.0000
"76628 Shawn Estate, Fernandeztown, DE 83775",2,517194,258597.0000
"600 Soto Stravenue Suite 644, Garciaton, NJ 48787",3,516841,172280.3333
"8272 Samantha Forge Suite 494, East Scott, CT 88540",2,516571,258285.5000
"963 Reynolds Orchard, Moranberg, MO 46882",2,514230,257115.0000
"438 Roberts Village, Transide, NH 41831",2,513289,256644.5000
"0923 Jessica Fort, Lake Amanda, NM 08140",2,511780,255890.0000
"USNV Nelson, FPO AE 91510",3,511619,170539.6667
"8189 Richardson Pine Apt. 198, Jasonfort, AK 26136",3,507484,169161.3333
"859 Marvin Harbors Apt. 009, North Normanstad, AZ 60461",2,507164,253582.0000
"60649 Andrea Throughway, New Dennischester, KS 11370",3,502568,167522.6667
"451 Lucas Lock Apt. 097, Port Amy, TN 95672",2,501752,250876.0000
"16276 Amanda Dale Suite 766, East Trevorhaven, AL 57648",2,499276,249638.0000
"84934 Petty Tunnel Apt. 786, South Johnhaven, IL 73928",1,499266,499266.0000
"55341 Cooper Land Suite 031, North Shane, GA 79771",2,498719,249359.5000
"431 Stacey Streets, East Sonya, TX 01768",2,498260,249130.0000
"58607 Linda Skyway Suite 026, Donnaburgh, AK 15379",2,498093,249046.5000
"347 Gonzalez Fields, Caseside, WV 21987",3,497473,165824.3333
"85996 Swanson Village, Lake Reginachester, MN 83619",1,496434,496434.0000
"901 Harper Spurs Apt. 563, Kenthaven, MI 22964",2,495933,247966.5000
"Unit 7120 Box 7378, DPO AA 98240",1,495054,495054.0000
"1060 Michael Mountain Suite 956, South Andrewmouth, IA 63988",3,494780,164926.6667
"7669 Tammy Burg Apt. 923, Austinside, WA 14326",1,493851,493851.0000
"124 Shaw Mountain Suite 166, New Vanessa, UT 80579",2,492681,246340.5000
"256 Goodwin Inlet Suite 249, Lake Justinhaven, WV 10811",1,491203,491203.0000
"96219 Joshua Gardens Apt. 272, East Mariafurt, MT 26556",1,490305,490305.0000
"3540 Smith Shoals Apt. 036, West Robinport, SC 20801",1,489980,489980.0000
"228 Bryant Square Apt. 090, Williamsmouth, TN 78537",2,489774,244887.0000
"42303 Martin Lodge Apt. 498, Millerchester, WI 06203",2,489636,244818.0000
"0676 Joseph Skyway Apt. 482, East Michael, SC 12259",3,487625,162541.6667
"PSC 8942, Box 5440, APO AA 92758",1,485177,485177.0000
"64715 Michael Avenue, Owensstad, KS 82724",1,484684,484684.0000
"5158 Murphy Rue, New Jasonshire, CT 32912",2,484562,242281.0000
"USNS Fisher, FPO AE 02505",2,484478,242239.0000
"142 Ernest Dam Apt. 493, New Scott, CA 29682",2,484184,242092.0000
"986 Jason Divide Apt. 703, New Kelli, AR 58091",3,483006,161002.0000
"669 Robinson Overpass Apt. 142, Dennischester, MI 24306",2,482730,241365.0000
"881 Ramirez Springs Suite 296, Port Jacqueline, MO 96676",3,482664,160888.0000
"7736 Mikayla Flat, East Cody, WI 11194",1,481532,481532.0000
"56193 Heather Cove, North Melanieport, MO 30732",1,479609,479609.0000
"684 Mary Flat Suite 605, New Jennifer, IA 56765",1,478439,478439.0000
"11960 Michael Vista Suite 905, Benjaminland, LA 72480",1,478437,478437.0000
"852 Christine Meadows Apt. 164, East Jillian, NJ 19286",1,478081,478081.0000
"32224 Dylan Knolls Apt. 213, Wyatthaven, DC 29134",2,477614,238807.0000
"PSC 6964, Box 3921, APO AE 35834",2,475773,237886.5000
"4384 Banks Ramp, South Ellen, OR 08944",2,475644,237822.0000
"417 Grimes Roads, Curryland, OH 17222",2,475417,237708.5000
"1272 Kimberly Canyon Apt. 778, Stevenberg, AK 22131",1,475051,475051.0000
"692 Cox Overpass Apt. 522, Port Michellemouth, LA 76216",2,474497,237248.5000
"5107 Gabriel Roads Suite 287, Russellhaven, FL 06047",3,474477,158159.0000
"04017 Cassandra Trafficway, North Becky, NV 69833",1,472137,472137.0000
"USNV Pacheco, FPO AE 43148",2,472092,236046.0000
"09643 Ashley Views Apt. 811, Sandratown, WV 92223",2,471872,235936.0000
"31644 Larson Walk Suite 023, Bobbymouth, NV 35487",1,470726,470726.0000
"261 Patrick Flat, Jasonbury, NE 63586",2,470535,235267.5000
"239 Michelle Lake Apt. 536, Barberfurt, HI 64571",2,470503,235251.5000
"918 Galloway Loaf, West Jonathan, IN 25668",1,469994,469994.0000
"Unit 3174 Box 3160, DPO AA 71848",2,469798,234899.0000
"67825 Henry Extensions Apt. 130, New Ashleyville, AK 49175",1,468723,468723.0000
"60953 Donna Run Apt. 530, Rosaleschester, IN 29947",1,468694,468694.0000
"760 Judy Loaf, Schroederfort, GA 12637",2,468203,234101.5000
"6584 Wilkerson River, North Stacie, MA 49593",1,466370,466370.0000
"67898 Dawson Summit, Hernandezfurt, VA 83766",2,465950,232975.0000
"11310 Alexander Vista, Lake Christophershire, UT 17092",1,465822,465822.0000
"3405 Taylor Run Suite 534, Lake Keithfort, KY 86909",2,465234,232617.0000
"86432 Andrea Burg Suite 270, Jillton, NM 43683",2,465109,232554.5000
"035 Rose Point, Jonestown, MT 00683",1,464942,464942.0000
"271 Robinson Shore Suite 850, Thomasside, NY 96382",1,460558,460558.0000
"9900 Hunter Dam, Contrerasland, MI 27508",2,460517,230258.5000
"6452 Ashley Unions, South Kenneth, NM 17398",1,460480,460480.0000
"Unit 7219 Box 0318, DPO AP 13876",1,460235,460235.0000
"539 Sandra Tunnel, New Elizabethhaven, AR 59788",1,459917,459917.0000
"3177 Williams Trafficway Apt. 266, Port Lori, WV 96132",1,459247,459247.0000
"059 Kimberly Circle, Proctorburgh, ID 66859",1,458529,458529.0000
"74471 Katherine Neck Suite 756, Ashleyborough, DC 81135",1,457269,457269.0000
"35532 Stephanie Extension, Debbieborough, OK 37223",2,457039,228519.5000
"USCGC Matthews, FPO AP 03789",2,456713,228356.5000
"USS Allen, FPO AA 13316",1,456363,456363.0000
