loan_id,customer_id,total_missed_emis,loan_amount,loan_status,customer_name,credit_score
2663,519,1,499409,Defaulted,"Aaron Williams",652
2949,520,1,397205,Rejected,"Anita Williams",396
189,525,1,283559,Closed,"Jason Holden",365
74,525,1,281533,Closed,"Jason Holden",365
2473,527,1,55853,Approved,"Mr. Charles Arnold DDS",316
1901,527,1,369848,Approved,"Mr. Charles Arnold DDS",316
722,533,1,92790,Closed,"William Bishop",301
332,534,1,468694,Closed,"Jason Moore",572
2271,538,1,116274,Defaulted,"Lori Mitchell",683
1784,539,1,82939,Defaulted,"Mary Thompson",516
928,551,1,120274,Closed,"Heather Mueller",523
889,552,1,365729,Closed,"Kathleen Young",590
2337,556,1,19167,Rejected,"Allison Shelton",830
1653,560,1,467899,Approved,"Jose Gill",351
2762,561,1,494592,Closed,"Brittany Henry",600
693,564,1,158968,Approved,"Cheryl Wang",800
256,565,1,236341,Closed,"Sherry Rodriguez",394
1275,569,1,463089,Rejected,"Bryan Daniels",744
1332,577,1,362633,Rejected,"Michael Harrison",624
1943,578,1,215839,Closed,"Isaac Olson",546
1496,578,1,52670,Closed,"Isaac Olson",546
2450,585,1,12860,Approved,"Jennifer Summers",436
2721,588,1,316010,Approved,"Bobby Hunt",385
1749,593,1,464568,Rejected,"Keith Hale",345
2710,596,1,350069,Rejected,"Jessica Sampson",618
2599,598,1,50085,Approved,"Madeline Bailey",375
346,598,1,222381,Rejected,"Madeline Bailey",375
872,604,1,8284,Rejected,"Gavin Simmons",359
1831,606,1,104157,Closed,"Christopher Sanchez",780
1085,607,1,348806,Defaulted,"Amber Reed",763
2821,613,1,206342,Closed,"Tom Clark",441
1491,621,1,443466,Defaulted,"Christy Hartman",333
2233,626,1,103736,Approved,"Jennifer Wade",418
745,627,1,67110,Approved,"Laura Nelson",794
1167,633,1,183022,Closed,"Jill Murphy",436
2433,634,1,296749,Approved,"Cheryl Lowe",556
310,636,1,106522,Approved,"Lauren Rodriguez",338
2261,637,1,431803,Rejected,"Rachel Stewart",573
705,638,1,36045,Rejected,"Lucas Scott",472
408,638,1,222564,Closed,"Lucas Scott",472
668,640,1,451498,Defaulted,"Ashley Fields",653
1690,643,1,458893,Rejected,"Frederick Ferguson",616
607,644,1,305993,Defaulted,"Sharon Hickman",796
2769,647,1,9123,Approved,"Kayla Cox",504
5,650,1,114287,Approved,"Ronald Mathews",777
1029,655,1,420224,Closed,"Rebecca Jones",431
1771,656,1,73251,Defaulted,"Wayne Baldwin",611
1890,658,1,358864,Rejected,"Theresa Guzman",479
2336,662,1,303824,Approved,"Tiffany Lane",371
270,662,1,99625,Closed,"Tiffany Lane",371
927,668,1,354065,Rejected,"David Gillespie",530
2413,680,1,357943,Rejected,"Timothy Marshall PhD",784
1802,694,1,39275,Approved,"Nancy Velasquez",768
149,694,1,42581,Rejected,"Nancy Velasquez",768
2411,703,1,49716,Rejected,"Jillian Martinez",650
1973,704,1,372163,Closed,"Matthew Ortiz",475
2104,705,1,386402,Approved,"Brad Soto",821
178,717,1,331305,Defaulted,"Jennifer Jones",430
2960,726,1,260609,Rejected,"Sheila Acosta",748
2585,726,1,225964,Approved,"Sheila Acosta",748
671,726,1,90658,Approved,"Sheila Acosta",748
501,726,1,373317,Defaulted,"Sheila Acosta",748
2245,728,1,370113,Closed,"Karen Riley",467
2228,729,1,93699,Defaulted,"Raymond Hansen",501
2956,732,1,165137,Approved,"Stephanie Rivera",731
2438,733,1,440227,Rejected,"Matthew Hensley",612
2857,737,1,55247,Approved,"Keith Deleon",338
1238,743,1,146395,Rejected,"Christopher Mcbride",610
654,743,1,320591,Closed,"Christopher Mcbride",610
899,744,1,41905,Defaulted,"Brianna Martinez",768
2489,751,1,431341,Rejected,"Toni Gill",579
164,751,1,139615,Defaulted,"Toni Gill",579
2390,764,1,173363,Defaulted,"Jeffrey Collins",844
2675,769,1,176666,Closed,"Jesse Mccarthy Jr.",414
1164,770,1,192347,Approved,"Jessica Reyes",315
2448,773,1,180740,Approved,"Steven Johnson",701
1567,780,1,136848,Defaulted,"Lisa Smith",558
354,780,1,490948,Closed,"Lisa Smith",558
2756,782,1,239037,Defaulted,"Jason Harvey",456
493,784,1,258486,Defaulted,"Lauren Chandler",490
2964,786,1,288422,Approved,"Joe Pittman",708
2282,791,1,79785,Closed,"Louis Flores",493
2044,797,1,470401,Closed,"David Martin",534
427,800,1,305496,Defaulted,"Brian Baird",760
1660,811,1,273907,Defaulted,"Jasmine Holmes",529
1117,815,1,339577,Approved,"Beverly Gibbs",747
2085,816,1,140294,Approved,"Michael Rodriguez",412
1848,817,1,468895,Approved,"Emily Rodriguez",534
2800,820,1,232436,Approved,"Michael Mclaughlin",474
1693,822,1,199183,Closed,"Jeremy Anderson",673
690,823,1,427935,Closed,"Cynthia Davis",516
2954,829,1,146194,Approved,"Manuel Oconnor",743
1657,830,1,105244,Defaulted,"Rodney Clark",375
519,833,1,373499,Defaulted,"Sarah Frank",738
1218,835,1,195878,Approved,"Stephen Thomas",823
1381,838,1,64980,Rejected,"Melissa Hodges",797
609,841,1,491048,Rejected,"Marie Payne",363
728,845,1,272783,Rejected,"Carrie Hart",430
556,852,1,425434,Defaulted,"Mary Perez",768
2480,853,1,36529,Closed,"Garrett Lang",459
117,858,1,34193,Closed,"Spencer Padilla",630
337,860,1,242189,Closed,"Shirley Torres",478
802,864,1,223643,Rejected,"Barbara Smith",344
210,866,1,491203,Closed,"Patrick Wilcox",337
1135,867,1,159655,Defaulted,"Rachel Francis",776
237,870,1,492512,Defaulted,"Austin Hale",726
744,872,1,343643,Approved,"Mrs. Elizabeth Santana MD",847
674,873,1,483424,Rejected,"Troy Webb",439
759,874,1,254061,Defaulted,"Charles Porter",491
1514,875,1,268719,Approved,"Michelle Smith",596
1197,881,1,113140,Defaulted,"Daniel Lawrence",618
2102,885,1,392487,Rejected,"Vanessa Powell",705
649,891,1,433068,Closed,"James Nunez",391
1017,892,1,144180,Rejected,"Robert Lewis",363
708,893,1,302299,Defaulted,"Brittany Allen",390
785,898,1,28065,Defaulted,"Paul Robinson",355
1189,899,1,130627,Approved,"Amanda Leblanc",432
1147,902,1,422885,Approved,"Mackenzie Mueller",808
1477,908,1,333610,Defaulted,"Tiffany Estrada",603
1031,908,1,311432,Defaulted,"Tiffany Estrada",603
2972,909,1,118370,Closed,"Larry Rich",682
1066,911,1,41834,Closed,"Mary Harris",772
2830,913,1,407606,Closed,"Richard Macdonald",451
2192,916,1,184118,Rejected,"Julia Wise",809
1760,916,1,16990,Closed,"Julia Wise",809
2965,917,1,188257,Approved,"Keith Armstrong",374
1699,923,1,466790,Defaulted,"Patricia Mcdonald",735
2850,928,1,175118,Rejected,"Emily Johnson",634
725,929,1,392338,Approved,"Wendy Taylor",773
2511,934,1,69693,Approved,"Stephanie White",776
8,939,1,223287,Rejected,"Elizabeth Lopez",569
1112,943,1,490626,Closed,"Monique Rich",583
318,948,1,235041,Defaulted,"Christina Smith",580
1978,952,1,215467,Approved,"Charles Krause",522
1718,954,1,259381,Rejected,"Bradley Benson",340
9,955,1,428895,Rejected,"Jeffrey Roberts",331
1700,960,1,495124,Rejected,"Victoria Lara",400
1240,961,1,419340,Rejected,"Shannon Vazquez",344
2385,967,1,111527,Closed,"Erica Olson",305
2309,967,1,261420,Closed,"Erica Olson",305
2822,982,1,475051,Approved,"Debbie Watson",651
2704,983,1,450290,Approved,"Daniel Malone",322
1103,984,1,443854,Rejected,"William Nguyen",658
176,985,1,265467,Defaulted,"David Owens",492
1184,989,1,171867,Defaulted,"Amanda Williams",641
1821,990,1,160937,Approved,"Robin Garcia",798
1878,992,1,447828,Defaulted,"Taylor Marsh",484
