customer_id,name,customer_since,years_with_bank,total_loans,total_loan_amount,average_loan_amount
62,"Linda Moreno",6/29/2015,9,2,307787,153893.5000
927,"Timothy Martin",2/25/2015,9,3,307652,102550.6667
204,"Jose Richards",8/14/2015,9,1,305084,305084.0000
242,"Miranda Lamb",6/23/2015,9,2,294985,147492.5000
47,"Elizabeth Bass",9/17/2015,9,2,292840,146420.0000
208,"Eric Reynolds",8/14/2015,9,1,290837,290837.0000
76,"Holly Ramirez",9/4/2015,9,1,256166,256166.0000
513,"William Carpenter",4/7/2015,9,1,251838,251838.0000
370,"Raymond Kirk",9/20/2015,9,1,234793,234793.0000
813,"James Schwartz",8/28/2015,9,1,187093,187093.0000
989,"Amanda Williams",11/19/2015,9,1,171867,171867.0000
327,"Melissa White",11/29/2015,9,2,124137,62068.5000
737,"Keith Deleon",10/30/2015,9,1,55247,55247.0000
995,"Jamie Tapia",7/31/2015,9,1,30648,30648.0000
97,"Jeffrey Potter",2/21/2015,9,0,NULL,NULL
631,"Andrew Lang",7/12/2015,9,0,NULL,NULL
660,"Audrey Simmons",4/1/2015,9,0,NULL,NULL
903,"Joseph Black",6/14/2015,9,0,NULL,NULL
556,"Allison Shelton",8/29/2016,8,8,2300192,287524.0000
561,"Brittany Henry",5/1/2016,8,6,2060072,343345.3333
439,"Monica Hudson",4/25/2016,8,8,1674858,209357.2500
302,"James Miller",5/29/2016,8,4,1532185,383046.2500
943,"Monique Rich",8/10/2016,8,4,1443395,360848.7500
436,"Sarah Taylor",9/26/2016,8,5,1439056,287811.2000
633,"Jill Murphy",10/31/2016,8,6,1434575,239095.8333
782,"Jason Harvey",3/25/2016,8,4,1394764,348691.0000
565,"Sherry Rodriguez",4/22/2016,8,4,1385944,346486.0000
231,"Julie Adkins",9/2/2016,8,4,1278948,319737.0000
406,"Lorraine Adams",2/19/2016,8,4,1275316,318829.0000
515,"Kimberly Carter",3/3/2016,8,5,1249726,249945.2000
773,"Steven Johnson",7/2/2016,8,4,1244183,311045.7500
868,"Stephanie Ruiz",2/22/2016,8,4,1211655,302913.7500
253,"Paige Wolf",3/25/2016,8,5,1207182,241436.4000
693,"Pamela Mason",5/6/2016,8,4,1146153,286538.2500
858,"Spencer Padilla",2/10/2016,8,6,1123163,187193.8333
144,"Brian Woods",5/30/2016,8,5,1117895,223579.0000
635,"Jason Bautista",2/18/2016,8,3,1103183,367727.6667
147,"Charles Anderson",4/15/2016,8,5,1093036,218607.2000
791,"Louis Flores",4/18/2016,8,4,1086068,271517.0000
125,"Carrie Smith",5/21/2016,8,4,1051393,262848.2500
708,"Shane Rivers",3/31/2016,8,3,1000532,333510.6667
916,"Julia Wise",11/1/2016,8,4,992195,248048.7500
936,"Ashley Klein",1/30/2016,8,4,976097,244024.2500
279,"Mitchell Young",8/4/2016,8,3,971300,323766.6667
945,"Tammy Davis",8/13/2016,8,5,968284,193656.8000
988,"Dylan Mcdonald",10/30/2016,8,4,958084,239521.0000
135,"Danielle Allen",6/24/2016,8,4,953583,238395.7500
1000,"Mary Reynolds",8/13/2016,8,4,945898,236474.5000
458,"Nicole Jensen",12/27/2015,8,4,922324,230581.0000
288,"Jonathan Carlson",5/14/2016,8,4,919496,229874.0000
948,"Christina Smith",1/12/2016,8,3,877286,292428.6667
156,"Michael Hopkins",3/4/2016,8,3,874440,291480.0000
881,"Daniel Lawrence",11/16/2016,8,4,858618,214654.5000
559,"Heather Berry",12/25/2015,8,2,846766,423383.0000
578,"Isaac Olson",6/14/2016,8,7,826456,118065.1429
420,"Martin Ramos",9/12/2016,8,3,823890,274630.0000
308,"Clayton Harris",7/29/2016,8,2,802038,401019.0000
830,"Rodney Clark",12/19/2016,8,3,757774,252591.3333
226,"Ms. Diane Drake",9/11/2016,8,3,745142,248380.6667
800,"Brian Baird",4/29/2016,8,2,728447,364223.5000
334,"Rebecca Fox",12/25/2015,8,2,712266,356133.0000
604,"Gavin Simmons",12/26/2015,8,4,699718,174929.5000
921,"Sarah Smith",2/23/2016,8,3,694480,231493.3333
812,"Brian Lam",1/2/2016,8,4,663527,165881.7500
442,"Sonya Burke",2/12/2016,8,3,650638,216879.3333
455,"Kristen Jefferson",2/26/2016,8,3,636810,212270.0000
598,"Madeline Bailey",10/20/2016,8,4,635641,158910.2500
493,"Erika Rivera",4/16/2016,8,2,628298,314149.0000
729,"Raymond Hansen",8/29/2016,8,5,623594,124718.8000
523,"Michelle Robinson MD",2/1/2016,8,2,617834,308917.0000
494,"Sierra Hawkins",1/26/2016,8,5,592307,118461.4000
192,"Alyssa Dennis",7/25/2016,8,3,572613,190871.0000
931,"Jack Ramirez",5/21/2016,8,2,565132,282566.0000
207,"Randy Wilcox",11/8/2016,8,2,560042,280021.0000
262,"Theresa Jacobson",5/11/2016,8,2,540237,270118.5000
757,"Thomas Thomas",9/28/2016,8,3,538595,179531.6667
672,"Tina Stone",3/24/2016,8,4,533119,133279.7500
638,"Lucas Scott",6/21/2016,8,3,504300,168100.0000
832,"Tyler Evans",8/24/2016,8,2,498260,249130.0000
169,"John Harris",5/6/2016,8,2,492802,246401.0000
132,"Robert Thompson",9/3/2016,8,2,478853,239426.5000
846,"Janet Delgado",7/27/2016,8,2,475108,237554.0000
427,"Melissa Garcia",12/9/2016,8,2,436839,218419.5000
415,"Michael Bauer",12/13/2016,8,1,436206,436206.0000
139,"Shannon Benson DVM",9/5/2016,8,2,422517,211258.5000
811,"Jasmine Holmes",12/26/2015,8,2,387320,193660.0000
359,"Larry Coleman",1/2/2016,8,1,384897,384897.0000
459,"Elizabeth Estrada",12/16/2016,8,2,359151,179575.5000
941,"Donald Warren",5/15/2016,8,1,352113,352113.0000
963,"Jonathan Lang",10/17/2016,8,1,327514,327514.0000
344,"Jessica Simpson",1/3/2016,8,1,302254,302254.0000
656,"Wayne Baldwin",3/11/2016,8,4,293001,73250.2500
451,"David Hensley",8/4/2016,8,1,274136,274136.0000
806,"Carol Crawford",8/2/2016,8,1,268334,268334.0000
220,"Katherine Mercer",4/27/2016,8,2,250095,125047.5000
944,"Melissa Garrett",7/21/2016,8,2,225991,112995.5000
174,"Matthew Parks",5/30/2016,8,2,185280,92640.0000
925,"Kimberly Reynolds",1/28/2016,8,1,165895,165895.0000
400,"Richard Stephens",3/21/2016,8,1,155658,155658.0000
700,"Vincent Lee",7/29/2016,8,1,148578,148578.0000
735,"Elizabeth Jones",6/11/2016,8,1,140055,140055.0000
54,"Kristin Mullen",9/16/2016,8,1,138109,138109.0000
600,"Marvin Richard",9/12/2016,8,1,133241,133241.0000
828,"Scott Martin",10/13/2016,8,1,129480,129480.0000
414,"Mrs. Sarah Swanson",9/10/2016,8,1,108297,108297.0000
368,"Daniel Hayes",5/19/2016,8,1,107121,107121.0000
480,"David Tate",4/20/2016,8,1,64426,64426.0000
517,"Blake Sullivan",12/3/2016,8,1,49719,49719.0000
589,"Ryan Murphy",7/20/2016,8,1,44175,44175.0000
227,"Travis Perez",2/26/2016,8,1,43629,43629.0000
88,"Melissa Roberts",6/23/2016,8,0,NULL,NULL
180,"Jose Munoz",12/15/2016,8,0,NULL,NULL
332,"Rebekah Miller",2/5/2016,8,0,NULL,NULL
675,"James Fischer",10/8/2016,8,0,NULL,NULL
698,"Angel Webb",7/31/2016,8,0,NULL,NULL
662,"Tiffany Lane",4/23/2017,7,9,2418197,268688.5556
751,"Toni Gill",8/27/2017,7,7,2291441,327348.7143
468,"Bailey Hancock",7/2/2017,7,6,2185088,364181.3333
639,"Matthew Lopez",7/25/2017,7,7,2078828,296975.4286
443,"Justin Bailey",4/2/2017,7,6,2078043,346340.5000
28,"Victor Haynes",9/23/2017,7,4,1652223,413055.7500
251,"Teresa Huffman",12/19/2017,7,5,1450036,290007.2000
321,"James Oconnor",3/16/2017,7,4,1445558,361389.5000
847,"Denise Mcdonald",12/31/2016,7,5,1410953,282190.6000
89,"Alexander Terry",6/23/2017,7,4,1353907,338476.7500
126,"Jessica Gonzalez",6/8/2017,7,5,1350295,270059.0000
897,"Shelby Hernandez",6/21/2017,7,4,1330663,332665.7500
979,"Ronnie Andrews",9/25/2017,7,4,1323333,330833.2500
449,"David Moran",1/7/2017,7,6,1309472,218245.3333
341,"Philip Wood",8/18/2017,7,4,1291437,322859.2500
491,"Lisa Hawkins",6/7/2017,7,5,1229662,245932.4000
487,"Joseph Mcfarland",11/3/2017,7,3,1198397,399465.6667
553,"Maria Smith",11/2/2017,7,5,1189261,237852.2000
649,"Andrew Gibson",7/28/2017,7,4,1132092,283023.0000
502,"Vanessa Torres",1/22/2017,7,3,1109375,369791.6667
879,"Charles Peterson",8/17/2017,7,4,1108263,277065.7500
937,"Edward Powers",6/12/2017,7,4,1084605,271151.2500
295,"Carl Richards",7/21/2017,7,4,1050766,262691.5000
726,"Sheila Acosta",11/5/2017,7,5,1044249,208849.8000
431,"Kelly Chapman",6/1/2017,7,3,1037714,345904.6667
229,"Christopher Mills",7/19/2017,7,5,1028860,205772.0000
670,"Tracy Wilkinson",10/23/2017,7,4,1013263,253315.7500
690,"Katrina Edwards",8/5/2017,7,3,1009463,336487.6667
615,"Robert Kelly MD",8/9/2017,7,5,1000227,200045.4000
780,"Lisa Smith",10/3/2017,7,4,994350,248587.5000
679,"William King",11/11/2017,7,7,962380,137482.8571
575,"Claudia Barr",8/30/2017,7,3,939959,313319.6667
668,"David Gillespie",7/7/2017,7,6,923636,153939.3333
875,"Michelle Smith",4/24/2017,7,4,914139,228534.7500
379,"Beth Cochran",3/26/2017,7,3,913365,304455.0000
33,"Michael Stein",6/27/2017,7,3,909382,303127.3333
187,"Gina Sullivan",2/7/2017,7,4,906539,226634.7500
32,"Paul Jensen",8/7/2017,7,3,888778,296259.3333
432,"Vanessa Gonzalez",12/22/2016,7,5,877830,175566.0000
465,"Benjamin Stewart",10/22/2017,7,4,875565,218891.2500
547,"Ellen Watson",8/30/2017,7,3,860321,286773.6667
839,"Cynthia Mendez",5/8/2017,7,4,852696,213174.0000
784,"Lauren Chandler",3/20/2017,7,3,851843,283947.6667
520,"Anita Williams",7/9/2017,7,3,844323,281441.0000
754,"Willie Huff",12/18/2017,7,3,833857,277952.3333
285,"Kimberly Snyder",11/25/2017,7,3,813234,271078.0000
218,"Kimberly Montes",12/8/2017,7,5,801608,160321.6000
753,"Rhonda Brown",1/11/2017,7,3,787347,262449.0000
256,"Nathan Richardson",3/18/2017,7,3,785010,261670.0000
823,"Cynthia Davis",5/6/2017,7,3,779399,259799.6667
113,"Eric Murphy",10/8/2017,7,3,766867,255622.3333
992,"Taylor Marsh",9/23/2017,7,2,750653,375326.5000
741,"Luke Jacobs",3/20/2017,7,2,748201,374100.5000
609,"Sean Smith",1/26/2017,7,2,720281,360140.5000
899,"Amanda Leblanc",7/18/2017,7,3,700939,233646.3333
641,"Pamela Carson",4/11/2017,7,3,660744,220248.0000
840,"Barbara Harvey",8/9/2017,7,3,657960,219320.0000
998,"Mallory Miller",8/8/2017,7,4,637981,159495.2500
549,"Trevor Pruitt",9/8/2017,7,3,631278,210426.0000
78,"Richard Weeks",8/3/2017,7,4,627870,156967.5000
195,"Cynthia Arnold",8/12/2017,7,3,619691,206563.6667
408,"David Massey",1/5/2017,7,2,618840,309420.0000
124,"Vanessa Hoffman",10/2/2017,7,3,605392,201797.3333
678,"Kristine Hall",3/11/2017,7,2,577429,288714.5000
355,"Brooke Downs",1/9/2017,7,3,554233,184744.3333
328,"Craig Taylor",10/10/2017,7,2,552984,276492.0000
318,"Tracy Gates",12/18/2017,7,3,534931,178310.3333
959,"Michelle Perez",2/20/2017,7,2,513289,256644.5000
85,"Megan Leonard",3/30/2017,7,4,511291,127822.7500
255,"Colin Thomas",10/27/2017,7,1,494785,494785.0000
239,"Jessica Welch",11/22/2017,7,3,474477,158159.0000
53,"Lisa Nelson",8/22/2017,7,2,453394,226697.0000
222,"Jennifer Moss",12/22/2016,7,3,451400,150466.6667
193,"Victor Williams",4/11/2017,7,1,444813,444813.0000
145,"Andrea Edwards",3/31/2017,7,1,431757,431757.0000
2,"Steven Hicks",12/30/2016,7,3,392402,130800.6667
396,"Erica Terrell",6/29/2017,7,3,390092,130030.6667
692,"Cheryl Anderson",5/28/2017,7,1,369461,369461.0000
715,"Dennis Lewis",5/6/2017,7,2,361789,180894.5000
161,"Russell Duran",9/28/2017,7,2,351542,175771.0000
194,"Stephen Mcdaniel",7/2/2017,7,2,334774,167387.0000
793,"Charles Ramos",8/4/2017,7,1,323428,323428.0000
809,"Patricia Smith",7/7/2017,7,1,302770,302770.0000
894,"Tony Thomas",11/23/2017,7,1,230733,230733.0000
425,"Tommy Martinez",3/24/2017,7,1,220003,220003.0000
730,"Christopher Pennington",9/20/2017,7,2,219359,109679.5000
906,"Janet Warren",7/7/2017,7,1,192903,192903.0000
599,"Jennifer Shaw",6/28/2017,7,1,174417,174417.0000
495,"Kristina House",2/3/2017,7,1,109608,109608.0000
738,"Lisa Ferrell",10/7/2017,7,1,22641,22641.0000
713,"Lauren Bennett",4/25/2017,7,1,22287,22287.0000
410,"Jeffrey King",3/26/2017,7,0,NULL,NULL
516,"Kimberly Coleman",9/26/2017,7,0,NULL,NULL
723,"Terry Anderson",2/4/2017,7,0,NULL,NULL
747,"Ashley Lee MD",12/9/2017,7,0,NULL,NULL
915,"Cynthia Jones",1/16/2017,7,0,NULL,NULL
511,"Regina Wilson",1/9/2018,6,8,2458984,307373.0000
525,"Jason Holden",9/2/2018,6,7,2276489,325212.7143
43,"Cynthia Wilkins",3/27/2018,6,8,2021534,252691.7500
865,"Zachary Wilson",4/8/2018,6,8,1916124,239515.5000
263,"Cory West",11/23/2018,6,7,1876600,268085.7143
940,"Tyler Walsh",1/4/2018,6,5,1854656,370931.2000
537,"John Mueller",8/22/2018,6,6,1825173,304195.5000
634,"Cheryl Lowe",4/25/2018,6,5,1806093,361218.6000
411,"Becky Smith",8/9/2018,6,7,1731126,247303.7143
611,"Julie Delgado",1/15/2018,6,6,1705935,284322.5000
100,"Jasmine Chavez",8/9/2018,6,6,1703179,283863.1667
237,"Mariah Moore",9/25/2018,6,4,1650722,412680.5000
817,"Emily Rodriguez",11/21/2018,6,7,1615764,230823.4286
444,"Benjamin Mason",11/20/2018,6,5,1481681,296336.2000
876,"Richard Garrison",7/18/2018,6,4,1447288,361822.0000
590,"Robert Munoz",3/12/2018,6,5,1416435,283287.0000
857,"Michael Alexander",6/21/2018,6,4,1391502,347875.5000
267,"Dr. Kelly Nelson",6/26/2018,6,6,1367291,227881.8333
173,"Sarah Pierce",12/31/2017,6,5,1343126,268625.2000
866,"Patrick Wilcox",4/19/2018,6,3,1274058,424686.0000
115,"Bobby Huff",11/21/2018,6,5,1259551,251910.2000
356,"Kara Tanner MD",9/22/2018,6,6,1257847,209641.1667
361,"James Jones",11/30/2018,6,6,1216510,202751.6667
450,"Hector Washington",10/27/2018,6,4,1193752,298438.0000
60,"Andrea Anthony",10/5/2018,6,4,1155593,288898.2500
181,"Joseph Jacobson",7/15/2018,6,5,1145144,229028.8000
299,"Derek Haney",3/27/2018,6,5,1086416,217283.2000
136,"Anthony Johnson",6/13/2018,6,3,1056290,352096.6667
80,"George Kelly",9/23/2018,6,4,1055631,263907.7500
94,"Cheryl Potter",8/26/2018,6,5,1039371,207874.2000
972,"Ashley Walker",11/29/2018,6,3,1031096,343698.6667
36,"Michael Ruiz",7/9/2018,6,4,1001876,250469.0000
1,"Darin Burgess",1/24/2018,6,4,990962,247740.5000
763,"Peter Warren",2/28/2018,6,4,987839,246959.7500
418,"Max Johnson",10/2/2018,6,3,974243,324747.6667
385,"Susan Torres MD",10/13/2018,6,3,932470,310823.3333
795,"Ashley Pruitt",12/16/2018,6,3,889241,296413.6667
614,"Jason Fletcher",11/20/2018,6,3,876836,292278.6667
640,"Ashley Fields",8/14/2018,6,3,862486,287495.3333
93,"Diana Miller",9/5/2018,6,4,860024,215006.0000
756,"Kristie Santiago",9/9/2018,6,3,857509,285836.3333
69,"Anne Ellison",6/2/2018,6,3,843101,281033.6667
724,"Phyllis Smith",9/30/2018,6,2,828658,414329.0000
202,"Rodney Hamilton",3/9/2018,6,3,791160,263720.0000
797,"David Martin",8/6/2018,6,2,771648,385824.0000
596,"Jessica Sampson",2/15/2018,6,2,769682,384841.0000
602,"Janice Jenkins",6/22/2018,6,4,753260,188315.0000
681,"Amy Meyer",9/2/2018,6,2,748939,374469.5000
909,"Larry Rich",4/29/2018,6,4,742758,185689.5000
550,"Jonathan Hernandez",11/1/2018,6,3,738509,246169.6667
45,"Destiny Stevenson",9/6/2018,6,2,736274,368137.0000
369,"Christy Solis",4/17/2018,6,2,716927,358463.5000
59,"John West",6/20/2018,6,4,711241,177810.2500
512,"Maxwell Baird",10/15/2018,6,3,701899,233966.3333
289,"Anthony Davis",6/23/2018,6,3,698273,232757.6667
24,"Keith Jackson",8/2/2018,6,2,692123,346061.5000
714,"Stacy Lee",4/30/2018,6,3,655860,218620.0000
689,"Virginia Melton",3/10/2018,6,2,653677,326838.5000
404,"Brianna Bailey",1/13/2018,6,3,651955,217318.3333
413,"Lynn Juarez",4/15/2018,6,2,635144,317572.0000
189,"Thomas Farmer",5/6/2018,6,2,609145,304572.5000
137,"Jody Marshall",9/21/2018,6,2,597159,298579.5000
304,"James Perry",1/10/2018,6,2,510854,255427.0000
785,"Joseph Parker",8/7/2018,6,3,508803,169601.0000
671,"Kevin Thomas",11/17/2018,6,2,489774,244887.0000
261,"Robert Carpenter",10/14/2018,6,3,485220,161740.0000
935,"Nicholas Ponce",2/27/2018,6,2,476598,238299.0000
402,"Rhonda Brown",6/7/2018,6,3,468688,156229.3333
509,"Jose Castaneda",6/10/2018,6,1,428189,428189.0000
652,"Michael Bennett",8/19/2018,6,3,408662,136220.6667
573,"Francisco Browning",6/10/2018,6,3,402528,134176.0000
233,"Lance Valdez",5/25/2018,6,3,401474,133824.6667
951,"Christina Velasquez",11/16/2018,6,1,396027,396027.0000
407,"Brittany Bowen",4/25/2018,6,2,381274,190637.0000
7,"Steven Nolan",1/11/2018,6,1,372148,372148.0000
964,"Richard Mayer",12/26/2017,6,1,360610,360610.0000
167,"Cheryl Wright",3/8/2018,6,3,348850,116283.3333
151,"Tara Mills",2/8/2018,6,3,342678,114226.0000
946,"Frank Brooks",3/11/2018,6,2,333490,166745.0000
905,"Catherine Hernandez",2/25/2018,6,1,280013,280013.0000
651,"William Donaldson",2/2/2018,6,1,219321,219321.0000
13,"Heather Garrison",3/20/2018,6,2,194552,97276.0000
653,"Shirley Watson",2/6/2018,6,1,193328,193328.0000
182,"Martin Gonzalez",4/22/2018,6,1,185073,185073.0000
84,"Crystal Huff",8/18/2018,6,1,170730,170730.0000
127,"David Short Jr.",10/26/2018,6,1,150074,150074.0000
5,"Julie Hart",6/3/2018,6,1,121586,121586.0000
850,"Sarah Dean",3/9/2018,6,1,108516,108516.0000
774,"Amy Deleon",6/27/2018,6,1,82116,82116.0000
351,"Olivia Shelton",10/21/2018,6,2,71207,35603.5000
919,"Jason Anderson",11/5/2018,6,1,61239,61239.0000
107,"Luis Hall",2/4/2018,6,1,53429,53429.0000
112,"Michael Carpenter",7/28/2018,6,1,36086,36086.0000
558,"Kevin Williams",5/20/2018,6,1,19800,19800.0000
532,"Jim Walker",8/8/2018,6,1,7912,7912.0000
712,"Amy Hall",6/14/2018,6,0,NULL,NULL
765,"Teresa Phillips",11/29/2018,6,0,NULL,NULL
